nodeName	altName	nodeAttr[nodesPresent, ]
Cre02.g113550	Cre02.g113550	salmon
Cre02.g113700	Cre02.g113700	salmon
Cre02.g113809	Cre02.g113809	salmon
Cre02.g116300	Cre02.g116300	salmon
Cre02.g116600	ELG23	salmon
Cre02.g116650	Cre02.g116650	salmon
Cre02.g117550	ANK13	salmon
Cre02.g118550	Cre02.g118550	salmon
Cre02.g146700	Cre02.g146700	salmon
Cre02.g142206	Cre02.g142206	salmon
Cre02.g142687	FAP332	salmon
Cre03.g146527	GSD1	salmon
Cre03.g155650	CLC1	salmon
Cre03.g167550	CEP290	salmon
Cre03.g175750	Cre03.g175750	salmon
Cre03.g176200	Cre03.g176200	salmon
Cre03.g176250	ATPVD1	salmon
Cre03.g178450	CPN10	salmon
Cre03.g183800	Cre03.g183800	salmon
Cre03.g188700	PLAP6	salmon
Cre03.g189250	RAB11	salmon
Cre03.g200000	Cre03.g200000	salmon
Cre04.g217950	Cre04.g217950	salmon
Cre04.g218250	FAP313	salmon
Cre04.g221400	Cre04.g221400	salmon
Cre04.g225600	CGL104	salmon
Cre04.g229700	UGP1	salmon
Cre04.g231124	Cre04.g231124	salmon
Cre05.g233800	TSG1	salmon
Cre05.g232751	Cre05.g232751	salmon
Cre05.g245550	PIK1	salmon
Cre05.g241646	Cre05.g241646	salmon
Cre05.g241655	Cre05.g241655	salmon
Cre05.g234641	Cre05.g234641	salmon
Cre05.g234653	Cre05.g234653	salmon
Cre06.g251550	SPP1C	salmon
Cre06.g255300	CGLD28	salmon
Cre06.g256750	FAT1	salmon
Cre06.g262300	CYN51	salmon
Cre06.g267500	Cre06.g267500	salmon
Cre06.g277600	Cre06.g277600	salmon
Cre06.g278172	Cre06.g278172	salmon
Cre06.g278224	MRPL16	salmon
Cre06.g278265	Cre06.g278265	salmon
Cre06.g281286	Cre06.g281286	salmon
Cre06.g281300	Cre06.g281300	salmon
Cre06.g282200	SNF7	salmon
Cre06.g283150	Cre06.g283150	salmon
Cre06.g286550	Cre06.g286550	salmon
Cre06.g288400	MRPS11	salmon
Cre06.g291900	PHD1	salmon
Cre06.g293051	AMT3	salmon
Cre06.g293700	MRPL7	salmon
Cre06.g294000	CGL113	salmon
Cre06.g299300	TUG1	salmon
Cre06.g302400	CSB31	salmon
Cre06.g308150	DNJ23	salmon
Cre06.g309100	CPN60C	salmon
Cre07.g320250	Cre07.g320250	salmon
Cre07.g325717	Cre07.g325717	salmon
Cre07.g330950	AP4S4	salmon
Cre07.g331000	Cre07.g331000	salmon
Cre07.g331962	Cre07.g331962	salmon
Cre07.g332150	Cre07.g332150	salmon
Cre07.g334575	Cre07.g334575	salmon
Cre07.g336950	PHO2	salmon
Cre07.g337650	PDC1	salmon
Cre07.g338500	Cre07.g338500	salmon
Cre07.g342552	Cre07.g342552	salmon
Cre08.g358548	Cre08.g358548	salmon
Cre08.g358557	Cre08.g358557	salmon
Cre08.g359650	Cre08.g359650	salmon
Cre08.g362550	VPS37	salmon
Cre08.g368200	Cre08.g368200	salmon
Cre08.g370350	Cre08.g370350	salmon
Cre08.g370450	MGE1	salmon
Cre08.g376350	ASF1	salmon
Cre08.g377800	Cre08.g377800	salmon
Cre08.g377950	Cre08.g377950	salmon
Cre08.g384750	AMA3	salmon
Cre09.g398983	Cre09.g398983	salmon
Cre09.g402750	COG2	salmon
Cre09.g399073	Cre09.g399073	salmon
Cre09.g397250	FAD5A	salmon
Cre09.g393200	HSP70C	salmon
Cre09.g388750	TEF21	salmon
Cre09.g387171	RHM1	salmon
Cre09.g387801	Cre09.g387801	salmon
Cre09.g387838	Cre09.g387838	salmon
Cre09.g388467	Cre09.g388467	salmon
Cre09.g392430	Cre09.g392430	salmon
Cre09.g392616	Cre09.g392616	salmon
Cre09.g394880	Cre09.g394880	salmon
Cre09.g396139	Cre09.g396139	salmon
Cre09.g400478	DIV31	salmon
Cre09.g400960	Cre09.g400960	salmon
Cre09.g405200	MRPL13	salmon
Cre09.g405400	PFP3	salmon
Cre09.g405600	SFT1	salmon
Cre09.g409050	OTU6	salmon
Cre09.g414200	VPS26	salmon
Cre21.g752647	Cre21.g752647	salmon
Cre24.g755247	Cre24.g755247	salmon
