fromNode	toNode	weight	direction	fromAltName	toAltName
Cre01.g004350	Cre12.g550400	0.0300544232452631	undirected	HLM1	GRX2
Cre01.g004350	Cre12.g544112	0.036917618223073	undirected	HLM1	Cre12.g544112
Cre01.g004350	Cre12.g540400	0.0829191017211906	undirected	HLM1	RCD1
Cre01.g004350	Cre13.g565550	0.0152075022220263	undirected	HLM1	RPB11
Cre01.g004350	Cre13.g570801	0.00494477697759884	undirected	HLM1	Cre13.g570801
Cre01.g004350	Cre13.g572900	0.00281067102826956	undirected	HLM1	THO3
Cre01.g004350	Cre13.g575701	0.00223277020738169	undirected	HLM1	Cre13.g575701
Cre01.g004350	Cre13.g576466	0.0388525888693998	undirected	HLM1	Cre13.g576466
Cre01.g004350	Cre13.g579150	0.00255002059262929	undirected	HLM1	Cre13.g579150
Cre01.g004350	Cre13.g579850	0.00922076841531849	undirected	HLM1	Cre13.g579850
Cre01.g004350	Cre13.g582713	0.0453133551888807	undirected	HLM1	Cre13.g582713
Cre01.g004350	Cre13.g584901	0.0210127087755051	undirected	HLM1	Cre13.g584901
Cre01.g004350	Cre13.g587150	0.00115143662165408	undirected	HLM1	HAT5
Cre01.g004350	Cre13.g587600	0.0608676844645191	undirected	HLM1	Cre13.g587600
Cre01.g004350	Cre13.g587750	0.0279036597359501	undirected	HLM1	COG6
Cre01.g004350	Cre13.g589150	0.00841923062372983	undirected	HLM1	Cre13.g589150
Cre01.g004350	Cre13.g589350	0.000629588071522962	undirected	HLM1	FBB6
Cre01.g004350	Cre13.g591951	0.00716764988342712	undirected	HLM1	Cre13.g591951
Cre01.g004350	Cre13.g603700	0.113305930639865	undirected	HLM1	DII4
Cre01.g004350	Cre13.g606000	0.0275763736025607	undirected	HLM1	EFG7
Cre01.g004350	Cre13.g607000	0.164237599237966	undirected	HLM1	Cre13.g607000
Cre01.g004350	Cre14.g608850	0.0196548374036554	undirected	HLM1	Cre14.g608850
Cre01.g004350	Cre14.g615000	0.0698818803012781	undirected	HLM1	Cre14.g615000
Cre01.g004350	Cre14.g616600	0.0412555537616777	undirected	HLM1	FZL
Cre01.g004350	Cre14.g617826	0.0209531695677246	undirected	HLM1	Cre14.g617826
Cre01.g004350	Cre14.g618200	0.0595213785265048	undirected	HLM1	Cre14.g618200
Cre01.g004350	Cre14.g631900	0.0897355450113891	undirected	HLM1	Cre14.g631900
Cre01.g004350	Cre15.g636300	0.0693560140597917	undirected	HLM1	CPN2
Cre01.g004350	Cre15.g638304	0.00300798812288001	undirected	HLM1	NCL30
Cre01.g004350	Cre16.g650425	0.0400850097929588	undirected	HLM1	Cre16.g650425
Cre01.g004350	Cre16.g653700	0.0115040816640991	undirected	HLM1	Cre16.g653700
Cre01.g004350	Cre16.g656600	0.0041468757021145	undirected	HLM1	TRX19
Cre01.g004350	Cre16.g659350	0.00895489463961928	undirected	HLM1	CYB1
Cre01.g004350	Cre16.g663050	0.0632934107507834	undirected	HLM1	Cre16.g663050
Cre01.g004350	Cre16.g663100	0.0257002206514299	undirected	HLM1	ALG7
Cre01.g004350	Cre16.g665500	0.0150278618281817	undirected	HLM1	Cre16.g665500
Cre01.g004350	Cre16.g690200	0.0597343266725208	undirected	HLM1	OXA1
Cre01.g004350	Cre16.g686900	0.004359861436859	undirected	HLM1	Cre16.g686900
Cre01.g004350	Cre16.g686050	0.00228109848942559	undirected	HLM1	Cre16.g686050
Cre01.g004350	Cre16.g684300	0.0168297240150316	undirected	HLM1	YGG3
Cre01.g004350	Cre16.g678600	0.00393726914547653	undirected	HLM1	Cre16.g678600
Cre01.g004350	Cre16.g676650	0.122748554183671	undirected	HLM1	AP1G1
Cre01.g004350	Cre16.g676050	0.079001521667849	undirected	HLM1	ARP3
Cre01.g004350	Cre16.g672400	0.000633884604734066	undirected	HLM1	Cre16.g672400
Cre01.g004350	Cre16.g682587	0.110166315699701	undirected	HLM1	Cre16.g682587
Cre01.g004350	Cre16.g684043	0.000199858967694316	undirected	HLM1	Cre16.g684043
Cre01.g004350	Cre16.g690431	0.00153814791139228	undirected	HLM1	Cre16.g690431
Cre01.g004350	Cre17.g698850	0.0679187502096027	undirected	HLM1	ISA2
Cre01.g004350	Cre17.g706800	0.0427044444575081	undirected	HLM1	Cre17.g706800
Cre01.g004350	Cre17.g708350	0.0534194391740949	undirected	HLM1	Cre17.g708350
Cre01.g004350	Cre17.g712350	0.00873755310639523	undirected	HLM1	CPLD6
Cre01.g004350	Cre17.g720050	0.0229174508383316	undirected	HLM1	FTSH2
Cre01.g004350	Cre17.g727400	0.00329916288155387	undirected	HLM1	HRP8
Cre01.g004350	Cre17.g740700	0.00224333105175028	undirected	HLM1	FAP336
Cre01.g004350	Cre17.g741800	0.00165409488373915	undirected	HLM1	Cre17.g741800
Cre01.g004350	Cre02.g074950	0.000263225045798463	undirected	HLM1	Cre02.g074950
Cre01.g004350	Cre02.g076500	0.00252421873949785	undirected	HLM1	Cre02.g076500
Cre01.g004350	Cre02.g079550	0.0101594497515	undirected	HLM1	DRP2
Cre01.g004350	Cre02.g081450	0.00197128268905729	undirected	HLM1	CGL123
Cre01.g004350	Cre02.g081600	0.0345046887539444	undirected	HLM1	PFH8
Cre01.g004350	Cre02.g083800	0.000778177858896333	undirected	HLM1	RHM2
Cre01.g004350	Cre02.g088000	0.0836831647755141	undirected	HLM1	PHB1
Cre01.g004350	Cre02.g092350	0.000245203434274162	undirected	HLM1	CYP51G1
Cre01.g004350	Cre02.g095072	0.0193607725609516	undirected	HLM1	FAP144
Cre01.g004350	Cre02.g095098	0.00656764332723897	undirected	HLM1	Cre02.g095098
Cre01.g004350	Cre02.g095450	0.0409411113687659	undirected	HLM1	FKB16-6
Cre01.g004350	Cre02.g096150	0.0772508152699847	undirected	HLM1	MSD1
